"date","energy_label","main_refinancing_rate"
2023-06-01,"B",3.75
2023-06-01,"B",3.75
2023-06-01,"E",3.75
2023-06-01,"D",3.75
2023-06-01,"≥A",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"B",3.75
2023-06-01,"C",3.75
2023-06-01,"B",3.75
2023-06-01,"D",3.75
2023-06-01,"B",3.75
2023-06-01,"≥A",3.75
2023-06-01,"D",3.75
2023-06-01,"≥A",3.75
2023-06-01,"≥A",3.75
2023-06-01,"C",3.75
2023-06-01,"C",3.75
2023-06-01,"D",3.75
2023-06-01,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"B",3.75
2023-06-02,"B",3.75
2023-06-02,"C",3.75
2023-06-02,"B",3.75
2023-06-02,"C",3.75
2023-06-02,"G",3.75
2023-06-02,"D",3.75
2023-06-02,"C",3.75
2023-06-02,"E",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"E",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"B",3.75
2023-06-02,"D",3.75
2023-06-02,"B",3.75
2023-06-02,"≥A",3.75
2023-06-02,"F",3.75
2023-06-02,"D",3.75
2023-06-02,"≥A",3.75
2023-06-02,"B",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"D",3.75
2023-06-02,"D",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
2023-06-02,"B",3.75
2023-06-02,"B",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"E",3.75
2023-06-02,"B",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"F",3.75
2023-06-02,"D",3.75
2023-06-02,"≥A",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
2023-06-02,"D",3.75
2023-06-02,"B",3.75
2023-06-02,"B",3.75
2023-06-02,"C",3.75
2023-06-02,"≥A",3.75
